model,AP@50:5:95,AP@50,AP@75,AP@S,AP@M,AP@L
faster_rcnn_r101_fpn-1x-fskd,0.412,0.623,0.449,0.246,0.446,0.506
faster_rcnn_r101_fpn-1x,0.398,0.608,0.432,0.227,0.431,0.499
faster_rcnn_r101_fpn-2x-fskd,0.425,0.634,0.464,0.252,0.459,0.529
faster_rcnn_r101_fpn-3x-fskd,0.428,0.636,0.467,0.255,0.461,0.534
faster_rcnn_r50_c4-1x-mstrain,0.361,0.564,0.387,0.185,0.398,0.478
faster_rcnn_r50_c4-1x,0.360,0.562,0.387,0.179,0.395,0.483
faster_rcnn_r50_dc5-1x-fskd,0.385,0.600,0.415,0.200,0.415,0.500
faster_rcnn_r50_dc5-1x,0.375,0.589,0.404,0.187,0.405,0.499
faster_rcnn_r50_fpn-1x-fskd,0.390,0.602,0.424,0.235,0.421,0.474
faster_rcnn_r50_fpn-1x,0.377,0.588,0.409,0.221,0.406,0.465
faster_rcnn_r50_fpn-2x-fskd,0.405,0.616,0.443,0.244,0.436,0.495
faster_rcnn_r50_fpn-2x,0.387,0.595,0.421,0.217,0.416,0.485
faster_rcnn_r50_fpn-3x-fskd,0.409,0.620,0.448,0.247,0.439,0.503
faster_rcnn_r50_fpn-3x,0.387,0.593,0.421,0.219,0.413,0.487
faster_rcnn_x101_32x4d-fpn-1x-fskd,0.428,0.640,0.468,0.263,0.461,0.527
faster_rcnn_x101_32x4d-fpn-1x,0.414,0.625,0.452,0.243,0.446,0.520
